Talk_ID,public_url,speaker_name,duration,published,tags,views
2257,https://www.ted.com/talks/cosmin_mihaiu_physical_therapy_is_boring_play_a_game_instead,Cosmin Mihaiu,00:05:57,5/19/15,"demo,software,gaming,TED Fellows,health",1423627
2254,https://www.ted.com/talks/steven_wise_chimps_have_feelings_and_thoughts_they_should_also_have_rights,Steven Wise,00:14:17,5/20/15,"animals,law,culture",1058467
2252,https://www.ted.com/talks/esther_perel_rethinking_infidelity_a_talk_for_anyone_who_has_ever_loved,Esther Perel,00:21:31,5/21/15,"sex,love,relationships,culture",9851214
2255,https://www.ted.com/talks/chris_burkard_the_joy_of_surfing_in_ice_cold_water,Chris Burkard,00:09:42,5/22/15,"travel,photography,oceans,creativity",1878413
2261,https://www.ted.com/talks/jeffrey_brown_how_we_cut_youth_violence_in_boston_by_79_percent,Jeffrey Brown,00:18:03,5/26/15,"narcotics,peace,crime,violence,faith,youth,social change",1091727
2260,https://www.ted.com/talks/sara_seager_the_search_for_planets_beyond_our_solar_system,Sara Seager,00:16:14,5/28/15,"Planets,telescopes,astrobiology,solar system,ecology,astronomy,exploration,space,universe,life,data,science",1404375
2272,https://www.ted.com/talks/bill_gross_the_single_biggest_reason_why_startups_succeed,Bill Gross,00:06:40,6/1/15,"creativity,business,technology",5242685
2265,https://www.ted.com/talks/laura_schulz_the_surprisingly_logical_minds_of_babies,Laura Schulz,00:20:18,6/2/15,"behavioral economics,physiology,children,mind,data,cognitive science,brain,science,youth,education",1692711
2274,https://www.ted.com/talks/tony_fadell_the_first_secret_of_design_is_noticing,Tony Fadell,00:16:41,6/3/15,"design,product design,technology",2268912
2263,https://www.ted.com/talks/trevor_aaronson_how_this_fbi_strategy_is_actually_creating_us_based_terrorists,Trevor Aaronson,00:09:22,6/4/15,"surveillance,terrorism,violence,government,TED Fellows,United States",1289720
2256,https://www.ted.com/talks/suki_kim_this_is_what_it_s_like_to_go_undercover_in_north_korea,Suki Kim,00:12:32,6/8/15,politics,3774312
2278,https://www.ted.com/talks/sarah_jones_one_woman_five_characters_and_a_sex_lesson_from_the_future,Sarah Jones,00:25:28,6/9/15,"sex,humor,culture,future,performance",1625335
